#,Subject,Question,A,B,C,D,Answer
1,English,English CBT Question 1?,Option A,Option B,Option C,Option D,A
2,English,English CBT Question 2?,Option A,Option B,Option C,Option D,A
3,English,English CBT Question 3?,Option A,Option B,Option C,Option D,A
4,English,English CBT Question 4?,Option A,Option B,Option C,Option D,A
5,English,English CBT Question 5?,Option A,Option B,Option C,Option D,A
6,English,English CBT Question 6?,Option A,Option B,Option C,Option D,A
7,English,English CBT Question 7?,Option A,Option B,Option C,Option D,A
8,English,English CBT Question 8?,Option A,Option B,Option C,Option D,A
9,English,English CBT Question 9?,Option A,Option B,Option C,Option D,A
10,English,English CBT Question 10?,Option A,Option B,Option C,Option D,A
